window,successive_negatives,classifier,F1_score
100,25,LR,0.72
250,25,LR,0.71
500,25,LR,0.72
750,25,LR,0.84
100,50,LR,0.8
250,50,LR,0.76
500,50,LR,0.86
750,50,LR,0.84
100,25,NN,0.69
250,25,NN,0.78
500,25,NN,0.83
750,25,NN,0.87
100,50,NN,0.43
250,50,NN,0.66
500,50,NN,0.83
750,50,NN,0.86
100,25,RF,0.43
250,25,RF,0.7
500,25,RF,0.72
750,25,RF,0.62
100,50,RF,0.68
250,50,RF,0.75
500,50,RF,0.69
750,50,RF,0.6
100,25,Gboost,0.77
250,25,Gboost,0.88
500,25,Gboost,0.72
750,25,Gboost,0.9
100,50,Gboost,0.79
250,50,Gboost,0.81
500,50,Gboost,0.79
750,50,Gboost,0.9
