1_LT_001_PV,2_PIT_001_PV,3_AIT_005_PV,2_FIC_401_SP,2_FIC_601_SP,1_P_005_STATUS,2_FIC_601_PV,2_MV_601_STATUS,2_FIC_301_PV,3_AIT_003_PV,2_FIC_601_CO,2_FQ_501_PV,2_FIC_401_PV,2_LT_001_PV,2_MV_401_STATUS,2A_AIT_001_PV,2_DPIT_001_PV,2_FIC_501_CO,2B_AIT_001_PV,2_FIC_201_CO,2_FQ_101_PV,1_MV_003_STATUS,2B_AIT_003_PV,2_MV_003_STATUS,2_PIT_002_PV,2_FIC_301_CO,2_MV_201_STATUS,2B_AIT_002_PV,1_AIT_001_PV,2_P_003_STATUS,2_MCV_501_CO,2_FQ_201_PV,2_FIC_201_PV,1_P_003_STATUS,3_AIT_004_PV,LEAK_DIFF_PRESSURE,2B_AIT_004_PV,2_FIT_001_PV,2_MCV_101_CO,2_FIC_301_SP,2_FIC_101_PV,2A_AIT_002_PV,2_FIC_401_CO,2_MCV_301_CO,1_P_001_STATUS,2_FIC_101_CO,2_FIT_002_PV,1_MV_001_STATUS,3_AIT_002_PV,2_MCV_601_CO,2_MV_101_STATUS,1_AIT_005_PV,2_LT_002_PV,2_PIC_003_PV,2_PIC_003_CO,2_MV_006_STATUS,2_MV_501_STATUS,2_FIC_201_SP,1_AIT_004_PV,2_P_003_SPEED,2_PIT_003_PV,2_FIC_501_PV,TOTAL_CONS_REQUIRED_FLOW,3_FIT_001_PV,1_FIT_001_PV,2_FIC_501_SP,2_FIT_003_PV,2_MCV_201_CO,1_P_006_STATUS,2A_AIT_004_PV,2_MCV_401_CO,2_FIC_101_SP,2A_AIT_003_PV,2_P_004_SPEED,2_FQ_601_PV,2_FQ_301_PV,2_FQ_401_PV,1_AIT_003_PV,3_LT_001_PV,2_MV_301_STATUS,2_MCV_007_CO,1_MV_002_STATUS,1_AIT_002_PV,"Attack LABLE (1:No Attack, -1:Attack)"
59.5022,151.351,0.523294,0.15,0.09,1,0.0779265,1,0.193152,8.87929,22.9633,0.107506,0.157616,69.4881,1,0.169922,2497.6,15.5578,0.189453,22.8078,0.138359,1,8.70345,1,87.99,23.1857,1,9.10782,167.646,1,22.7972,0.102072,0.102072,1,623.647,63.5131,474.751,0,22.9517,0.1,0.138359,3.84E-41,20.9968,21.0056,1,22.8977,0.730048,1,8279.1,22.9086,1,0.23482,75.0042,0.023186,50,1,1,0.11,451.408,-0.0150017,0.023186,0.107506,0.68,0.00120357,0.00114374,0.1,0,15.5757,1,475.348,23.2045,0.13,8.6875,0.0306726,0.0779265,0.193152,0.157616,11.9542,64.4772,1,0,1,0.559483,1
59.5022,151.351,0.523294,0.15,0.09,1,0.0779265,1,0.193152,8.87929,22.9633,0.107506,0.157616,69.4881,1,0.169922,2497.6,15.5578,0.189453,22.8078,0.138359,1,8.70345,1,87.99,23.1857,1,9.10782,167.646,1,22.7972,0.102072,0.102072,1,623.647,63.5131,474.751,0,22.9517,0.1,0.138359,3.84E-41,20.9968,21.0056,1,22.8977,0.730048,1,8279.1,22.9086,1,0.23482,75.0042,0.023186,50,1,1,0.11,451.408,-0.0150017,0.023186,0.107506,0.68,0.00120357,0.00114374,0.1,0,15.5757,1,475.348,23.2045,0.13,8.6875,0.0306726,0.0779265,0.193152,0.157616,11.9542,64.4772,1,0,1,0.559483,1
59.5022,151.351,0.523294,0.15,0.09,1,0.0779265,1,0.193152,8.87929,22.9633,0.107506,0.157616,69.4881,1,0.169922,2497.6,15.5578,0.189453,22.8078,0.138359,1,8.70345,1,87.99,23.1857,1,9.10782,167.646,1,22.7972,0.102072,0.102072,1,623.647,63.5131,474.751,0,22.9517,0.1,0.138359,3.84E-41,20.9968,21.0056,1,22.8977,0.730048,1,8279.1,22.9086,1,0.23482,75.0042,0.023186,50,1,1,0.11,451.408,-0.0150017,0.023186,0.107506,0.68,0.00120357,0.00114374,0.1,0,15.5757,1,475.348,23.2045,0.13,8.6875,0.0306726,0.0779265,0.193152,0.157616,11.9542,64.4772,1,0,1,0.559483,1
59.5022,151.351,0.523294,0.15,0.09,1,0.0779265,1,0.193152,8.87929,22.9633,0.107506,0.157616,69.4881,1,0.169922,2497.6,15.5578,0.189453,22.8078,0.138359,1,8.70345,1,87.99,23.1857,1,9.10782,167.646,1,22.7972,0.102072,0.102072,1,623.647,63.5131,474.751,0,22.9517,0.1,0.138359,3.84E-41,20.9968,21.0056,1,22.8977,0.730048,1,8279.1,22.9086,1,0.23482,75.0042,0.023186,50,1,1,0.11,451.408,-0.0150017,0.023186,0.107506,0.68,0.00120357,0.00114374,0.1,0,15.5757,1,475.348,23.2045,0.13,8.6875,0.0306726,0.0779265,0.193152,0.157616,11.9542,64.4772,1,0,1,0.559483,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.70345,1,87.8864,22.409,1,9.10782,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.751,0,23.0262,0.1,0.140139,3.84E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.348,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.691,1,87.8864,22.409,1,9.10811,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.676,0,23.0262,0.1,0.140139,2.98E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.3,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.691,1,87.8864,22.409,1,9.10811,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.676,0,23.0262,0.1,0.140139,2.98E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.3,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.691,1,87.8864,22.409,1,9.10811,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.676,0,23.0262,0.1,0.140139,2.98E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.3,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.691,1,87.8864,22.409,1,9.10811,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.676,0,23.0262,0.1,0.140139,2.98E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.3,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
59.4749,151.434,0.523281,0.15,0.09,1,0.0811923,1,0.183566,7.83912,23.0302,0.107416,0.158792,69.5058,1,0.169922,2499.33,15.4635,0.189453,22.8642,0.13822,1,8.691,1,87.8864,22.409,1,9.10811,167.644,1,22.8792,0.103627,0.103666,1,628.211,63.5503,474.676,0,23.0262,0.1,0.140139,2.98E-41,20.9075,20.897,1,22.8035,0.721767,1,8279.1,22.8162,1,0.241044,75.772,0.0233699,50,1,1,0.11,451.464,-0.0150837,0.0233699,0.109927,0.68,0.00141338,0.00118226,0.1,0,15.5064,1,475.3,22.426,0.13,8.6875,0.0304021,0.0810475,0.180548,0.159273,11.9609,64.4543,1,0,1,0.601479,1
